Date created,Reporting period start date,Reporting period end data,County,Population density per square mile,Fiscal Year
8/27/2025,7/1/2024,6/30/2025,Garrett,43.9,FY2025
8/27/2025,7/1/2024,6/30/2025,Harford,607.5,FY2025
8/27/2025,7/1/2024,6/30/2025,Howard,1354.7,FY2025
8/27/2025,7/1/2024,6/30/2025,Kent,70.6,FY2025
8/27/2025,7/1/2024,6/30/2025,Montgomery,2203.1,FY2025
8/27/2025,7/1/2024,6/30/2025,Prince George's,2002.6,FY2025
8/27/2025,7/1/2024,6/30/2025,Queen Anne's,144.4,FY2025
8/27/2025,7/1/2024,6/30/2025,St. Mary's,326.1,FY2025
8/27/2025,7/1/2024,6/30/2025,Somerset,78.9,FY2025
8/27/2025,7/1/2024,6/30/2025,Talbot,142.4,FY2025
8/27/2025,7/1/2024,6/30/2025,Washington,343.5,FY2025
8/27/2025,7/1/2024,6/30/2025,Wicomico,284,FY2025
8/27/2025,7/1/2024,6/30/2025,Worcester,116,FY2025
